path,kind,owner,lines,sha256,disposition,static_signals,review_basis
.opencode/agents/council.md,agent-prompt,.opencode,107,c463427965ad96837f2b176947e6d4102705501e4a0b5ae90a04628425916cc4,retained,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/agents/design-routing.test.mjs,test,.opencode,71,aa892b28c4e28ae8305bd3d415596df9d0af7e3f0ce413b245782a7747d51b51,retained,"source-reading,mock",Full-gate execution plus static fixture/assertion scan; retained behavior unless report names a change.
.opencode/agents/designer.md,agent-prompt,.opencode,121,e8c1e51621be13431af82e1977de7cf9852c50529aed7ba881294a5e7e635523,retained,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/agents/explorer.md,agent-prompt,.opencode,102,e9d8589cf5459e6a2511a623bce2b6c6fdbd67e5802e1012fb78344a3143aad1,changed,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/agents/fixer.md,agent-prompt,.opencode,123,ff4ee4389b07c1d76beeab25600f5bd3ea87c4d74a7866f5ea700980a611509e,retained,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/agents/librarian.md,agent-prompt,.opencode,61,f0d29671f70f1683fd698168655304b6992644b5552dfc063bcfcd5f50860dd3,retained,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/agents/oracle.md,agent-prompt,.opencode,99,ec0b6431886b01947a82aee26c4fd862e68b980c4b11c8bc2795931d65a9113a,retained,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/agents/orchestrator.md,agent-prompt,.opencode,174,90832223e1826190725fd8df14d3d879e25b7eb4c17d2f1c8ac4ded757346391,retained,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/agents/plan.md,agent-prompt,.opencode,73,5f40ce7707ba03ff17cbb1898f4262d90dd4842cdbd5e7f70650ee62b2033a96,retained,,Reviewed routing and procedural constraints; permissions/model/output/runtime contracts retained; Explorer scope wording simplified.
.opencode/plugins/orchestrator-autoresume.test.mjs,test,.opencode,482,5f5a116d1b06c8d7c7ba5f43b6b7a40421041a431629fdedaebbfd40bd70e3d8,retained,environment,Full-gate execution plus static fixture/assertion scan; retained behavior unless report names a change.
.superpowers/sdd/task-4-report.md,documentation,.superpowers,115,2fe22f697f8770e388ac3ac2aed3328636259aa8e97717049488cf5e9d298f2b,retained,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
AGENTS.md,agent-instructions,AGENTS.md,52,94bb3bbd3b2f5d8813d428bee6b853cbdf6e3ef299b35e6c7427a2f91557897b,changed,,Reduced to contextual routing and repository invariants; detailed rules moved without losing operational safeguards.
BACKPORT.md,documentation,BACKPORT.md,21,ee5f21923b99c6865d89d26a94b944f50722bdfb95de68d30486258d557a9bc5,retained,,"Historical record; missing old paths reported, content preserved."
CHANGELOG.md,documentation,CHANGELOG.md,765,7154137299decbba5783d41da9121e35ab608f8e11f37505e9048014ebddc29a,retained,,"Historical record; missing old paths reported, content preserved."
CODEMAP.md,documentation,CODEMAP.md,119,208de4f6f7d762141bf43bf610f290620876c632ace3be94921faa023171560c,changed,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
README.md,documentation,README.md,25,67cf0bb31ff8fa29c096348e3db497ae0d714fbc8c2f059d400c9ed8dc5c286d,changed,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
bun.lock,lockfile,bun.lock,3802,77c9811dd30b79c2b0f98aaa9796367d0ca2e45072e07df37b5580b85b2d3f48,changed,,Registry/range and lock ownership reviewed; see dependency audit and retained-pin decisions.
docker/codemap.md,documentation,docker,36,260055de2f678bc4f5e940ac53ea1a76c7fcff213b2bd1e136be270736044f33,retained,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
docs/AGENT_BROWSER_CDP_SPIKE.md,documentation,docs,49,5c6b4542d4b5abb20599ad584228f495d4146c0efe55512c759a1bb17f5a5295,retained,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
docs/AGENT_PERFORMANCE.md,documentation,docs,109,0b374181bab50fb1d4a3aaa32501fb948deaf2b605210dbfa6d6acec0a5a4750,changed,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
docs/AGENT_RUNTIME_VERIFICATION.md,documentation,docs,79,a7ad6e666705bf3bd61363964b31ecb1828483b56d045a6b837aa40640ecc3e4,changed,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
docs/BOTS_RUNTIME.md,documentation,docs,1069,b5a089cb576b9d2c962078bac1a81a9fba2a41cb6f62c61fac7215c544d9ed74,retained,,Current local-reference and documented-command scan; targeted factual corrections recorded in report.
